Datetime,Action,Price,Amount
2024-02-28 20:00:00,BUY,0.567369,202.6899601493913
2024-02-29 15:00:00,SELL,0.603315,122.28589330753003
2024-03-05 21:00:00,BUY,0.564412,216.66068989945293
2024-03-06 07:00:00,SELL,0.605148,131.11178317127414
2024-03-15 05:00:00,BUY,0.636384,206.02620928759075
2024-03-16 20:00:00,STOP LOSS SELL,0.603393,124.31477250066723
2024-03-19 03:00:00,BUY,0.6198,200.57239835538437
2024-03-19 10:00:00,STOP LOSS SELL,0.580985,116.52955485850298
2024-04-12 21:00:00,BUY,0.528688,220.41271006435358
2024-04-13 22:00:00,STOP LOSS SELL,0.491563,108.34673299736384
2024-04-13 23:00:00,BUY,0.431451,251.12175657806762
2024-04-13 23:59:00,SELL,0.461373,115.86079819769279
2024-04-19 04:00:00,BUY,0.479667,241.54423422435312
2024-04-20 06:00:00,SELL,0.511859,123.63659018584315
2024-06-07 21:00:00,BUY,0.490113,252.26139724072436
2024-06-14 19:00:00,STOP LOSS SELL,0.467477,117.9264011979021
2024-06-18 04:00:00,BUY,0.483308,243.99844653492616
2024-07-03 22:00:00,STOP LOSS SELL,0.462196,112.77510599465673
2024-07-05 05:00:00,BUY,0.408622,275.9888258455412
2024-07-06 12:00:00,SELL,0.433283,119.58126642883363
2024-07-13 23:59:00,BUY,0.534596,223.6852996072429
2024-07-16 17:00:00,SELL,0.578798,129.468604042073
2024-07-18 05:00:00,BUY,0.602946,214.72669864643433
2024-07-18 11:00:00,STOP LOSS SELL,0.578746,124.27221793482929
2024-08-05 03:00:00,BUY,0.497046,250.02156326543073
2024-08-05 04:00:00,STOP LOSS SELL,0.474148,118.54722417917745
2024-08-05 05:00:00,BUY,0.477671,248.1775619185118
2024-08-05 09:00:00,STOP LOSS SELL,0.45585,113.1317416005536
2024-08-08 02:00:00,BUY,0.60016,188.50263529817647
2024-08-09 16:00:00,STOP LOSS SELL,0.575421,108.468374905912
2024-08-28 01:00:00,BUY,0.566079,191.6134937100864
2024-09-05 19:00:00,STOP LOSS SELL,0.541902,103.83573546848324
2024-10-02 23:59:00,BUY,0.540959,191.94751444838377
2024-10-03 10:00:00,STOP LOSS SELL,0.518733,99.56951001235346
2024-11-10 22:00:00,BUY,0.580378,171.55975935054994
2024-11-11 22:00:00,SELL,0.619445,106.27183513090141
2024-11-12 12:00:00,BUY,0.632992,167.88811727620794
2024-11-12 17:00:00,SELL,0.678843,113.96967319613282
2024-11-13 05:00:00,BUY,0.667907,170.63703958205681
2024-11-13 16:00:00,SELL,0.713061,121.674618081421
2024-11-13 20:00:00,BUY,0.706841,172.13859705566173
2024-11-14 19:00:00,SELL,0.766206,131.89362589563035
2024-11-15 01:00:00,BUY,0.771708,170.91131087876548
2024-11-15 03:00:00,SELL,0.821615,140.4232966876569
2024-11-16 18:00:00,BUY,1.14171,122.9938396682668
2024-11-17 03:00:00,STOP LOSS SELL,1.07619,132.36474031259203
2024-11-17 04:00:00,BUY,1.06621,124.14509366127875
2024-11-17 07:00:00,STOP LOSS SELL,1.00416,124.66153725090966
2024-11-23 18:00:00,BUY,1.46413,85.14376267879878
2024-11-24 13:00:00,STOP LOSS SELL,1.38564,117.97860331825073
2024-11-24 14:00:00,BUY,1.33884,88.12001681922465
2024-11-24 22:00:00,SELL,1.42058,125.18153349305415
2024-11-25 16:00:00,BUY,1.39109,89.98809098840057
2024-11-25 21:00:00,SELL,1.47503,132.7351338506205
2024-11-26 12:00:00,BUY,1.33079,99.7416075042798
2024-11-27 10:00:00,SELL,1.43396,143.02547549683706
2024-12-02 10:00:00,BUY,2.27487,62.87193355964827
2024-12-02 15:00:00,SELL,2.4273,152.60904432933424
2024-12-03 09:00:00,BUY,2.62905,58.04722022378207
2024-12-03 13:00:00,SELL,2.85093,165.48856155258702
2024-12-03 15:00:00,BUY,2.41436,68.54344901033276
2024-12-03 19:00:00,SELL,2.57274,176.34447300684351
2024-12-04 01:00:00,BUY,2.51073,70.23633485354598
2024-12-04 18:00:00,STOP LOSS SELL,2.38128,167.25237946005197
2024-12-04 19:00:00,BUY,2.40304,69.60033102239329
2024-12-05 03:00:00,STOP LOSS SELL,2.23799,155.76484482480595
2024-12-09 22:00:00,BUY,2.27531,68.4587352162149
2024-12-10 04:00:00,STOP LOSS SELL,2.1336,146.0635574573161
2024-12-10 05:00:00,BUY,2.15226,67.86520097818855
2024-12-10 17:00:00,STOP LOSS SELL,2.03961,138.41854256712315
2024-12-10 18:00:00,BUY,2.08443,66.4059443431169
2024-12-10 19:00:00,STOP LOSS SELL,1.93443,128.45765091565562
2024-12-11 03:00:00,BUY,2.23865,57.38174833746036
2024-12-11 12:00:00,SELL,2.37903,136.51290074726833
2024-12-18 22:00:00,BUY,2.32573,58.69679659602289
2024-12-19 21:00:00,STOP LOSS SELL,2.22719,130.72891841069622
2024-12-20 11:00:00,BUY,2.13096,61.34742952035525
2024-12-20 13:00:00,STOP LOSS SELL,1.97605,121.22558810369799
